PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
32456,1,1,"Benitez, Christy",female,45.0,1,0,47782,34.53,C20721,S
40212,0,2,"Dennis, Gary",male,32.0,0,0,202451,7.88,,S
49626,1,1,"Oatney, Carol",female,29.0,1,2,PC 22646,82.21,B14660,C
17676,1,2,"Bailey, Ronnie",male,55.0,0,1,196804,9.65,,S
29881,1,2,"Summers, Pamela",female,62.0,0,0,6878,27.76,,S
46535,1,1,"Holloway, Kathleen",female,49.5,0,0,25156,85.03,B3117,C
12333,1,1,"Hanson, Bertha",female,44.0,1,2,PC 186727,249.55,D9035,S
30363,1,1,"Smith, George",male,29.0,0,0,446086,109.85,C9190,C
86750,0,3,"Norgaard, Gary",male,8.0,0,0,,26.78,,S
19258,0,2,"Stomberg, Kenneth",male,49.0,0,0,,12.0,,S
92091,0,2,"Williams, George",male,24.0,0,0,3958719,11.26,,S
14939,1,1,"Simmons, Dean",male,59.0,0,0,PC 438917,264.47,C7266,S
44418,0,3,"Calliste, Jesse",male,18.0,0,0,302272,5.37,,S
20337,1,1,"Onell, Tracy",female,56.0,0,0,4323326,36.33,C17105,C
65113,1,3,"Shropshire, Richard",male,18.0,0,0,310640,8.17,,C
22791,1,2,"Sanders, Kay",female,54.5,0,0,11383,23.0,,C
92450,0,3,"Rodriguez, James",male,58.0,0,0,CA. 13156,11.18,,S
40785,1,2,"Cline, Kathleen",female,46.0,0,0,327331,9.57,,S
38404,1,2,"Mcginnis, Christine",female,44.0,1,1,9246,27.88,D10279,S
69747,0,2,"Rivera, Robert",male,48.0,0,0,CA. 427362,9.08,,S
2099,0,2,"Melendy, Dale",male,60.0,0,0,A. 418872,8.54,,S
64065,0,2,"Jacobsen, Samuel",male,57.0,0,0,16945,7.93,,S
43014,1,1,"Casey, Elizabeth",female,41.0,1,0,194595,80.95,C8797,S
16198,0,3,"Mandell, Angel",male,20.0,0,0,39562,10.45,,S
40946,1,1,"Kraemer, Justin",male,60.0,1,1,352414,69.73,A17525,S
32160,0,3,"Roos, Todd",male,42.0,3,2,CA 11934,10.26,,S
20100,0,1,"Greene, Amber",female,44.0,0,0,PC 25065,24.39,A14062,C
48992,1,1,"Lindsey, Micheal",male,50.0,1,0,7644,24.22,,S
96937,1,3,"Brookins, Cheryl",female,9.0,1,2,26229,28.97,,S
49595,0,3,"Bowe, Matt",male,59.0,0,0,STON/O 400450,12.64,,S
1438,1,1,"Berndt, Richard",male,51.0,0,0,21672,26.44,C13243,S
19038,1,1,"Flores, Louise",female,31.0,0,0,26179,13.79,C1932,C
22466,0,3,"Shaffer, Gregg",male,33.0,0,0,435769,8.12,,S
44435,0,3,"Hill, Elmer",male,23.0,0,0,10029,6.87,,S
74140,0,3,"Orabuena, Maria",female,28.0,0,0,A. 4200354,9.7,,Q
46616,1,1,"Warner, Nathan",male,75.0,0,0,PC 13252,26.22,B9868,Q
14722,0,2,"Montgomery, Glinda",female,38.0,4,0,A. 331140,8.23,,S
19504,1,3,"Anderson, Donna",female,0.83,1,2,A/5. 324863,81.37,,C
7321,0,3,"Williamson, Lillian",female,30.0,0,1,F.C.C. 436505,31.14,,C
27152,1,2,"Hillman, Wanda",female,65.0,1,5,419110,31.84,G6851,S
1912,0,2,"Selby, Mildred",female,27.0,0,0,45109,14.25,,C
80229,0,1,"Paul, Manuel",male,46.0,0,0,PC 474581,338.9,A15893,C
13553,1,2,"Heidel, Marcia",female,3.0,1,2,449804,32.47,,S
44323,0,3,"Deer, Jimmie",male,26.0,0,0,STON/O 422405,9.47,,S
18877,1,2,"Miller, Kristi",female,9.0,0,0,PC 4329545,25.41,,S
66802,1,2,"Wood, Pearlie",female,58.0,1,0,SCO/W 491226,8.98,,S
89379,1,1,"Cox, Eula",female,59.0,0,0,PC 16182,316.23,C19296,C
